4534,Ab Workouts - Ab Generator,HEALTH_AND_FITNESS,4.7,21,3.8,1000,Free,0,Everyone,Health & Fitness,2016-12-31,2.0.0,4.1 and up
5204,AR Tank Battle,GAME,3.6,153,67,10000,Free,0,Everyone,Action,2016-12-31,1.3,4.0 and up
7911,AZ Browser. Private & Download,COMMUNICATION,4.4,1520,5.2,100000,Free,0,Everyone,Communication,2016-12-31,1.4,4.4 and up
10561,BW Wallpaper,PERSONALIZATION,4.5,4,0.51,50,Free,0,Everyone,Personalization,2016-12-31,1.4,4.0 and up
9032,Pineapple Pen,GAME,4.3,157264,65,10000000,Free,0,Everyone,Arcade,2016-12-30,1.31,4.0.3 and up
5862,Ever After Highâ„¢ Charmed Style,FAMILY,3.9,44062,54,1000000,Free,0,Everyone,Casual;Pretend Play,2016-12-30,1.3,4.0.3 and up
3798,Chest Tracker for Clash Royale,TOOLS,4.3,77717,14,5000000,Free,0,Everyone,Tools,2016-12-29,1.2.0,4.1 and up
3251,iOBD2-CF,TOOLS,3.4,5,21,500,Free,0,Everyone,Tools,2016-12-26,1.0,2.3.3 and up
1309,Coupe AdhÃ©mar EY 2017,SOCIAL,0,6,10,50,Free,0,Teen,Social,2016-12-26,1.3,4.1 and up
7644,Image 2 Wallpaper,TOOLS,4.3,81668,110,5000000,Free,0,Everyone,Tools,2016-12-26,Varies with device,Varies with device
8371,HON. B.J. ACS COLLEGE ALE,FAMILY,5,3,1.8,100,Free,0,Mature 17+,Education,2016-12-26,3.1,4.3 and up
9091,Super Sport Car Simulator,FAMILY,4.2,58553,50,1000000,Free,0,Everyone,Simulation,2016-12-25,3.1,2.3.3 and up
9179,Extreme Motorbike Jump 3D,FAMILY,4,94308,79,10000000,Free,0,Everyone,Simulation,2016-12-25,4.2,2.3.3 and up
9578,Simple Notepad,PRODUCTIVITY,4.3,12321,0.71,1000000,Free,0,Everyone,Productivity,2016-12-25,2.0.1,2.3 and up
4926,AK-47 3D,GAME,3.7,91,24,10000,Free,0,Everyone,Action,2016-12-25,3.2,2.3 and up
1820,Motorbike Driving Simulator 3D,GAME,3.9,178723,65,10000000,Free,0,Everyone,Racing,2016-12-25,4.1,2.3.3 and up
4020,Fast Motorcycle Driver 2016,GAME,4.2,28151,49,1000000,Free,0,Everyone 10+,Racing,2016-12-25,1.2,2.3.3 and up
9456,Northern Lights FREE (Aurora),PERSONALIZATION,4.1,12180,5.4,1000000,Free,0,Everyone,Personalization,2016-12-24,1.3,2.1 and up
8544,DU Browser Mini(Small&Fast),TOOLS,4.2,20941,2,1000000,Free,0,Everyone,Tools,2016-12-23,1.12.23,4.0 and up
10733,Patchcord.ca Inc. App Launcher,BUSINESS,0,0,3.7,10,Free,0,Everyone,Business,2016-12-23,1.21,4.0 and up
10412,BT One Voice anywhere,BUSINESS,4.5,80,16,10000,Free,0,Everyone,Business,2016-12-23,2.54.3,2.2 and up
5084,3D Holograms Joke,FAMILY,2.9,31596,31,5000000,Free,0,Teen,Simulation,2016-12-23,1.5,2.3 and up
6267,Guide for DB Xenoverse 2,BOOKS_AND_REFERENCE,4.4,121,8.7,10000,Free,0,Everyone,Books & Reference,2016-12-23,1.1.2,4.1 and up
6447,Dungeon Rush,FAMILY,4,28633,81,1000000,Free,0,Everyone 10+,Role Playing,2016-12-23,1.14.0,2.3 and up
7780,AW Toolbox,BUSINESS,0,3,13,100,Paid,19.9,Everyone,Business,2016-12-22,1.6.2,4.0 and up
4447,Gangster Town,GAME,4.1,74842,99,5000000,Free,0,Teen,Action,2016-12-22,1.7,2.3 and up
955,Clumsy Santa ER Surgery,FAMILY,4.1,214,46,100000,Free,0,Teen,Casual,2016-12-22,1.0,4.0.3 and up
10000,B-17 Flying Fortress WWII LWP,PERSONALIZATION,0,7,14,100,Paid,1.49,Everyone,Personalization,2016-12-22,1.0,4.1 and up
8896,CompactiMa EC pH Calibration,BOOKS_AND_REFERENCE,0,0,8.4,100,Free,0,Everyone,Books & Reference,2016-12-22,1.1.2,4.1 and up
8766,DZ Urgences,FAMILY,0,16,1.6,500,Free,0,Everyone,Education,2016-12-21,2.0,4.0 and up
8860,TN Electricity (TNEB),LIFESTYLE,3.9,73,3.8,10000,Free,0,Everyone,Lifestyle,2016-12-21,8.0,2.3 and up
10128,PÃ¥ sporet ABC (BM),FAMILY,0,2,28,1000,Free,0,Everyone,Educational,2016-12-21,v1.2,4.0 and up
10290,Zowi App,FAMILY,4.5,516,21,50000,Free,0,Everyone,Education;Education,2016-12-21,1.4.1,4.0.3 and up
4619,"Digital Clock : Simple, Tiny, Ad-free Desk Clock.",LIFESTYLE,4.4,317,0.07,50000,Free,0,Everyone,Lifestyle,2016-12-21,3.0,2.3 and up
5170,Ghost Snap AR Horror Survival,GAME,3.8,898,33,100000,Free,0,Teen,Adventure,2016-12-21,1.2.3.1,2.3 and up
5478,Call of Duty:Black Ops Zombies,GAME,4.2,13004,46,100000,Paid,6.99,Teen,Action,2016-12-20,1.0.11,2.3.3 and up
2414,Next Gen Science Standards,EDUCATION,4.3,206,18,50000,Free,0,Everyone,Education,2016-12-20,1.12.1,2.3 and up
2417,Common Core,EDUCATION,4,835,15,100000,Free,0,Everyone,Education,2016-12-20,2.3.1,2.3 and up
3648,Hashtags For Likes.co,SOCIAL,4.3,420,18,50000,Free,0,Everyone,Social,2016-12-19,1.1,4.0.3 and up
7842,Axxess Updater,TOOLS,3.9,56,2.3,10000,Free,0,Everyone,Tools,2016-12-19,1.3.2,3.1 and up
8962,EG CrossPad,BUSINESS,0,3,110,1000,Free,0,Everyone,Business,2016-12-19,Varies with device,Varies with device
3702,Evolve CP Calc. for PokemonGo,TOOLS,3.9,116,3.3,10000,Free,0,Everyone,Tools,2016-12-18,2.6,4.4 and up
3191,H Pack,LIFESTYLE,4.3,9412,1.7,1000000,Free,0,Everyone,Lifestyle,2016-12-17,1.5.1,4.0.3 and up
4979,Al-Quran 30 Juz free copies,BOOKS_AND_REFERENCE,4.5,12322,27,500000,Free,0,Everyone,Books & Reference,2016-12-17,3.0,2.3 and up
6509,Resources For Virtual DJ,FAMILY,3.6,21095,7.9,1000000,Free,0,Everyone,Entertainment,2016-12-16,4,4.0.3 and up
8589,DV Lottery Photo,VIDEO_PLAYERS,2.9,23,4,5000,Free,0,Everyone,Video Players & Editors,2016-12-16,1.1,3.0 and up
10411,BT Communicator,SOCIAL,3.8,32,1.6,10000,Free,0,Teen,Social,2016-12-16,1.0,1.6 and up
10724,CA Mobile Authenticator,BUSINESS,0,9,6.9,1000,Free,0,Everyone,Business,2016-12-15,1.0.0,4.2 and up
10581,BW t&t,PRODUCTIVITY,0,2,1.7,10,Free,0,Everyone,Productivity,2016-12-15,1.0,4.1 and up
8733,Dz Dinars Numbers to letters,PRODUCTIVITY,4.7,2807,9.8,100000,Free,0,Everyone,Productivity,2016-12-15,0.74 11.12.2016,4.0.3 and up
