Google Play Books,1000000000
WhatsApp Messenger,1000000000
Hangouts,1000000000
Gmail,1000000000
Skype - free IM & video calls,1000000000
Google News,1000000000
Maps - Navigate & Explore,1000000000
Messenger â€“ Text and Video Chat for Free,1000000000
Google+,1000000000
Google,1000000000
Google Play Games,1000000000
Subway Surfers,1000000000
Facebook,1000000000
Instagram,1000000000
Google Photos,1000000000
Google Street View,1000000000
Google Drive,1000000000
YouTube,1000000000
Google Play Movies & TV,1000000000
Google Chrome: Fast & Secure,1000000000
